observation_time,station_id,raw_text,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,flight_category,sky_cover,cloud_base_ft_agl
2024-02-26T01:54:00Z,KBTV,KBTV 260154Z 19013G22KT 10SM SCT100 01/M11 A2990 RMK AO2 SLP128 T00111111,44.4683,-73.1499,1.1,-11.1,190,13,22,10+,29.9,VFR,scattered ,10000
2024-02-26T02:54:00Z,KBTV,KBTV 260254Z 19012G24KT 10SM CLR 02/M12 A2988 RMK AO2 SLP123 T00171117 58006,44.4683,-73.1499,1.7,-11.7,190,12,24,10+,29.88,VFR,clear,
2024-02-26T03:54:00Z,KBTV,KBTV 260354Z 20016G24KT 10SM OVC085 02/M12 A2987 RMK AO2 PK WND 18026/0322 SLP120 T00221117,44.4683,-73.1499,2.2,-11.7,200,16,24,10+,29.87,VFR,overcast,8500
2024-02-26T04:54:00Z,KBTV,KBTV 260454Z 20009G18KT 10SM OVC032 02/M11 A2991 RMK AO2 SLP133 LAST T00221111 400221122,44.4683,-73.1499,2.2,-11.1,200,9,18,10+,29.91,VFR,overcast,3200
2024-02-26T05:54:00Z,KBTV,KBTV 260554Z 19013G19KT 10SM BKN055 OVC070 02/M11 A2988 RMK AO2 SLP122 T00221111 10022 20011 50000,44.4683,-73.1499,2.2,-11.1,190,13,19,10+,29.88,VFR,broken ,5500
2024-02-26T06:54:00Z,KBTV,KBTV 260654Z 18014G21KT 10SM BKN060 OVC080 02/M09 A2986 RMK AO2 SLP115 T00221094,44.4683,-73.1499,2.2,-9.4,180,14,21,10+,29.86,VFR,broken ,6000
2024-02-26T07:54:00Z,KBTV,KBTV 260754Z 20016G24KT 10SM SCT070 OVC090 02/M10 A2986 RMK AO2 SLP116 T00221100,44.4683,-73.1499,2.2,-10,200,16,24,10+,29.86,VFR,scattered ,7000
2024-02-26T08:54:00Z,KBTV,KBTV 260854Z 19013G24KT 10SM BKN055 BKN070 02/M06 A2986 RMK AO2 PK WND 19027/0812 SLP115 T00171061 56007,44.4683,-73.1499,1.7,-6.1,190,13,24,10+,29.86,VFR,broken ,5500
2024-02-26T09:54:00Z,KBTV,KBTV 260954Z 19016G23KT 10SM OVC060 01/M06 A2985 RMK AO2 PK WND 18028/0924 SLP112 T00111056,44.4683,-73.1499,1.1,-5.6,190,16,23,10+,29.85,VFR,overcast,6000
2024-02-26T10:54:00Z,KBTV,KBTV 261054Z 20014G22KT 10SM OVC055 02/M05 A2986 RMK AO2 SLP115 T00171050,44.4683,-73.1499,1.7,-5,200,14,22,10+,29.86,VFR,overcast,5500
2024-02-26T11:54:00Z,KBTV,KBTV 261154Z 19014G20KT 10SM OVC060 02/M06 A2986 RMK AO2 SLP116 T00221056 10022 20011 53001,44.4683,-73.1499,2.2,-5.6,190,14,20,10+,29.86,VFR,overcast,6000
2024-02-26T12:54:00Z,KBTV,KBTV 261254Z 19013G21KT 10SM BKN150 BKN200 03/M06 A2986 RMK AO2 SLP116 T00281056,44.4683,-73.1499,2.8,-5.6,190,13,21,10+,29.86,VFR,broken ,15000
2024-02-26T13:54:00Z,KBTV,KBTV 261354Z 20011G18KT 10SM BKN050 BKN070 03/M06 A2989 RMK AO2 PK WND 21026/1302 SLP124 ACSL S T00331061,44.4683,-73.1499,3.3,-6.1,200,11,18,10+,29.89,VFR,broken ,5000
2024-02-26T14:54:00Z,KBTV,KBTV 261454Z 20013G24KT 10SM SCT048 BKN055 BKN070 05/M06 A2989 RMK AO2 SLP125 T00501056 53009,44.4683,-73.1499,5,-5.6,200,13,24,10+,29.89,VFR,scattered ,4800
2024-02-26T15:54:00Z,KBTV,KBTV 261554Z 22012KT 10SM BKN046 BKN070 BKN090 07/M05 A2989 RMK AO2 SLP123 T00721050,44.4683,-73.1499,7.2,-5,220,12,,10+,29.89,VFR,broken ,4600
2024-02-26T16:54:00Z,KBTV,KBTV 261654Z 24005KT 10SM BKN050 BKN060 08/M04 A2988 RMK AO2 SLP120 VCSH E T00781044,44.4683,-73.1499,7.8,-4.4,240,5,,10+,29.88,VFR,broken ,5000
2024-02-26T17:54:00Z,KBTV,KBTV 261754Z 34008KT 10SM OVC048 06/M04 A2990 RMK AO2 SLP127 VCSH E T00611039 10078 20017 53003,44.4683,-73.1499,6.1,-3.9,340,8,,10+,29.9,VFR,overcast,4800
2024-02-26T18:54:00Z,KBTV,KBTV 261854Z 32009KT 10SM -RA FEW026 OVC033 05/M01 A2992 RMK AO2 RAB1755 SLP136 P0000 T00501011,44.4683,-73.1499,5,-1.1,320,9,,10+,29.92,VFR,a few ,2600
2024-02-26T19:54:00Z,KBTV,KBTV 261954Z 36003KT 10SM FEW029 SCT044 BKN070 06/M01 A2994 RMK AO2 RAE1855 SLP141 VCSH E P0000 T00561006,44.4683,-73.1499,5.6,-0.6,360,3,,10+,29.94,VFR,a few ,2900
2024-02-26T20:54:00Z,KBTV,KBTV 262054Z 31010KT 10SM FEW040 FEW060 SCT200 08/M04 A2995 RMK AO2 SLP144 60000 T00781044 51017,44.4683,-73.1499,7.8,-4.4,310,10,,10+,29.95,VFR,a few ,4000
2024-02-26T21:54:00Z,KBTV,KBTV 262154Z 34008KT 10SM FEW060 SCT200 07/M06 A2997 RMK AO2 SLP151 T00671056,44.4683,-73.1499,6.7,-5.6,340,8,,10+,29.97,VFR,a few ,6000
